"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
1,15.538,18.348,12.338,17.818,17.918,10.048,13.548,16.998,18.158,16.508,18.058,18.398,2.678,18.158,14.028,10.248,17.818,13.258,13.258,17.038,8.308,17.478,13.648,18.208,17.818,17.818,13.108,15.928,15.388,16.898,16.948,9.228,15.678,18.208,11.998,13.688,17.378,17.528,16.168,8.888,8.988,11.948,17.088,16.698,18.208,9.128,18.158,13.888,12.868,14.028,12.578,16.268,16.318,4.858,9.278,4.228,9.958,5.348,7.038,8.788,16.608,16.748,12.818,4.858,5.978,10.148,17.818,9.758,2.478,6.798,13.738,9.518,9.908,15.248,0.482,12.238,0.148000000000001,7.038,5.978,8.888,7.378,13.838,4.178,8.258,5.348,13.598,3.838,7.718,5.828,7.968,8.208,8.448,8.498,10.048,10.298,7.868,4.278,12.478,13.738,8.258
5,8.308,3.498,0.488000000000001,8.498,8.548,2.088,8.688,3.008,4.178,8.838,9.668,7.628,5.638,1.118,7.378,5.638,6.218,3.938,7.238,5.248,6.998,2.968,1.358,3.108,6.898,9.228,6.998,8.058,3.988,5.488,5.828,0.632,5.728,1.558,1.268,2.678,8.498,0.632,2.818,0.198,7.768,2.968,3.058,2.138,0.248,2.288,6.318,7.238,9.708,5.728,0.348,6.168,2.528,9.618,2.528,0.098,6.318,0.242,2.238,3.788,6.948,5.248,4.958,8.598,4.128,0.0919999999999995,2.378,3.058,0.588,0.0919999999999995,6.798,6.898,3.448,4.468,1.268,5.978,4.858,8.888,0.482,4.568,7.288,1.408,10.248,0.242,3.648,1.698,4.858,2.578,2.188,1.898,3.688,0.678,3.688,0.672,2.868,0.382,4.178,2.238,9.908,4.758
7,10.588,3.738,10.778,16.608,1.018,12.628,18.448,16.018,0.148000000000001,17.378,4.758,8.938,9.468,12.338,2.238,16.748,1.848,18.448,6.018,18.108,7.918,18.348,0.632,4.758,1.998,9.078,11.658,12.188,9.078,8.738,12.718,3.058,14.858,0.0420000000000006,9.078,13.348,2.088,5.388,5.978,5.048,4.958,3.738,11.318,1.748,5.828,10.298,2.038,10.488,4.468,6.558,2.718,3.498,1.218,1.318,4.758,6.268,12.968,7.478,9.278,16.408,5.728,3.208,5.778,9.708,0.722,10.978,9.178,0.248,10.198,9.128,7.038,4.618,15.008,0.297999999999999,2.968,0.722,7.088,8.838,6.798,3.108,8.058,1.218,5.008,0.198,9.668,1.798,10.488,3.988,5.928,5.008,0.928,3.498,2.968,0.722,0.098,4.668,0.672,0.0479999999999993,8.888,1.318
8,8.888,14.708,9.708,10.588,8.888,11.018,9.708,15.538,12.528,15.538,10.148,14.028,11.018,10.148,10.388,10.588,14.028,13.348,12.088,8.688,8.888,14.028,8.888,15.538,13.158,14.278,13.348,8.888,13.738,13.838,8.888,8.888,8.888,11.458,8.888,8.888,14.908,8.888,13.548,10.588,7.338,13.598,6.268,8.888,8.888,10.588,7.138,12.528,7.578,9.958,6.948,8.888,8.888,8.888,8.888,8.888,5.778,2.288,5.828,5.978,10.588,8.888,4.228,4.418,8.888,5.638,5.978,12.968,4.758,1.318,8.888,5.638,7.578,11.798,8.888,0.438,5.388,5.778,0.438,3.838,2.188,0.242,3.888,6.268,10.388,2.288,8.888,7.768,2.678,2.868,6.068,2.188,2.188,8.888,8.888,3.888,0.248,4.328,3.888,0.438
11,15.388,15.778,8.208,16.748,15.148,14.328,13.448,6.608,6.408,10.298,10.638,16.798,8.688,11.218,6.748,13.838,11.558,12.238,11.608,11.558,9.908,9.468,14.178,10.638,7.138,11.658,11.608,9.418,12.478,12.628,7.378,8.688,9.758,7.768,8.598,11.068,9.328,10.878,11.508,9.028,8.938,13.258,10.978,9.858,14.618,11.748,13.008,8.598,5.878,7.818,4.708,10.098,6.318,8.548,9.278,7.818,9.908,10.928,10.878,10.008,11.218,14.708,6.658,8.888,9.808,14.808,9.028,7.918,10.488,9.708,7.188,7.038,10.298,10.538,5.388,8.548,7.528,6.798,13.688,11.218,11.218,6.558,5.678,9.178,4.568,6.798,6.268,10.638,8.498,1.948,9.858,10.928,6.898,4.808,11.608,4.028,4.078,7.138,2.288,3.888
13,18.448,8.888,18.398,17.378,17.628,12.918,18.158,16.748,18.398,18.108,18.058,18.348,16.608,16.318,17.868,17.238,18.258,14.178,17.968,13.598,18.348,17.968,15.488,18.448,12.038,14.618,17.768,17.718,16.408,15.678,17.718,17.528,17.338,18.498,3.398,16.948,1.948,15.048,17.378,18.258,18.108,17.338,17.478,16.798,13.258,18.398,12.868,17.528,10.048,15.148,18.158,16.748,16.798,15.978,10.348,17.288,16.608,10.248,9.618,9.328,17.968,2.968,18.108,18.348,15.538,16.608,18.208,17.528,16.018,17.868,16.318,2.038,14.708,17.868,0.632,3.258,12.678,14.758,17.628,8.158,18.398,0.728000000000001,17.378,0.488000000000001,8.348,2.628,1.018,10.928,17.378,18.108,6.798,2.038,1.848,0.0919999999999995,0.0479999999999993,1.698,13.058,12.528,11.268,1.608
14,17.868,5.388,10.348,1.168,17.868,8.498,0.0420000000000006,4.568,12.338,0.438,0.588,9.668,17.868,15.198,1.218,16.698,13.598,17.768,10.298,8.838,0.198,3.688,6.168,0.348,0.332,15.048,11.898,1.558,15.728,3.258,2.428,8.648,14.808,12.528,17.868,12.378,15.248,0.828,13.208,17.478,17.968,12.718,4.328,1.268,8.598,8.738,2.138,8.348,4.368,13.208,3.208,3.398,0.332,18.058,12.768,5.438,6.608,12.868,5.388,7.578,10.638,3.448,13.598,16.948,11.748,6.018,6.798,9.668,4.328,12.718,14.278,1.508,0.638000000000001,14.418,14.228,1.898,4.808,17.478,17.818,0.292000000000001,0.292000000000001,6.168,4.228,6.218,13.688,5.678,4.128,7.188,4.368,12.968,0.332,17.088,4.858,10.878,3.348,17.718,14.028,14.028,2.138,5.488
15,14.418,15.148,14.958,14.568,10.978,4.128,14.908,5.778,1.998,9.368,13.398,15.198,9.808,12.378,9.708,14.908,6.748,13.108,14.078,13.648,8.498,9.418,7.188,13.348,14.708,5.538,5.678,5.298,12.578,2.578,11.998,5.638,15.388,10.828,10.728,13.398,5.388,8.988,6.898,16.218,15.588,6.218,11.168,4.958,12.628,9.668,12.288,7.818,7.528,11.218,13.108,7.238,8.308,8.498,8.058,12.918,9.178,8.688,5.878,13.398,2.578,5.978,10.878,5.248,6.898,10.148,6.318,11.508,4.668,4.518,3.258,3.498,10.198,12.238,5.048,1.218,16.458,8.008,4.708,5.348,2.918,6.948,5.728,6.408,6.218,12.088,13.108,8.888,6.798,3.008,8.788,4.808,5.488,11.698,5.048,8.498,13.398,4.808,3.938,2.378
17,17.038,16.508,13.058,15.828,15.098,10.148,16.898,16.658,6.998,16.798,9.128,14.958,11.998,12.968,12.288,15.678,10.008,16.558,11.798,10.248,9.418,12.238,13.838,12.678,9.028,12.868,15.008,13.258,11.608,16.508,9.668,9.368,17.138,10.008,17.038,10.008,11.698,10.148,12.478,9.468,11.698,14.808,12.768,11.658,11.798,15.638,14.278,13.308,14.908,9.278,12.868,14.858,16.658,17.238,12.868,12.968,13.108,12.338,10.388,11.318,16.798,13.888,10.928,14.278,14.858,13.838,9.668,9.368,14.808,12.238,10.248,13.108,9.958,12.338,12.038,12.818,14.758,9.708,17.428,14.668,14.708,16.798,14.568,16.358,11.608,15.928,9.758,16.358,10.348,10.148,11.408,13.398,16.848,7.968,11.748,10.148,10.198,14.228,12.918,8.448
23,17.678,16.458,16.608,15.388,11.948,14.078,11.848,17.678,14.708,12.628,9.518,9.078,15.048,17.428,8.688,15.638,16.698,17.428,11.218,12.238,17.338,15.388,0.332,8.008,16.998,9.568,11.898,17.528,14.468,3.348,8.498,12.718,9.278,12.288,13.158,12.038,9.278,16.608,17.678,0.828,15.148,14.958,17.628,8.838,15.978,9.128,9.078,14.908,12.768,9.368,8.548,15.828,8.258,8.258,13.938,16.458,15.098,14.518,14.958,10.728,4.758,12.478,1.798,10.348,8.598,8.348,9.568,8.398,8.938,10.098,5.678,10.388,3.988,2.868,9.278,5.878,1.068,10.678,7.818,3.888,7.968,0.978000000000001,0.778,10.778,1.608,11.458,11.268,13.348,0.638000000000001,4.758,5.098,4.858,4.128,0.488000000000001,3.598,1.318,2.918,0.148000000000001,5.198,2.038
