"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
30 17.868 11.318 17.968 17.578 12.918 12.718 18.308 13.348 8.888 11.998 8.738 1.798 13.008 17.578 12.338 13.208 18.348 12.338 9.518 11.118 9.908 5.778 18.258 12.088 8.688 18.158 12.818 7.868 8.838 9.858 15.678 11.698 17.968 16.508 13.548 10.678 10.298 17.678 13.158 13.258 10.048 8.988 4.078 11.358 14.808 8.258 11.898 5.298 14.368 8.348 12.138 13.648 16.458 10.678 9.858 10.678 14.858 11.068 4.128 11.748 13.108 10.828 4.908 7.478 12.188 10.588 9.518 12.718 8.398 2.718 4.668 15.928 8.548 7.478 13.738 4.128 13.398 2.678 11.118 12.338 10.638 11.948 9.908 1.698 7.188 2.088 15.638 12.288 7.478 10.248 14.028 10.828 3.008 3.208 3.208 3.108 1.998 14.028 8.838 3.108
32 11.798 11.558 11.948 12.188 10.198 15.878 11.698 14.908 9.668 10.198 10.388 12.578 12.288 9.708 14.518 14.908 11.698 11.998 12.378 11.318 11.948 11.798 15.148 13.258 12.578 11.948 12.718 2.718 11.698 10.098 0.292000000000001 10.488 9.758 10.388 10.098 10.388 15.678 12.378 9.708 11.408 10.008 11.898 11.358 11.698 12.378 12.378 11.998 12.138 10.298 8.888 11.698 9.708 9.858 7.818 11.318 12.288 9.958 11.318 12.238 12.238 4.808 12.818 4.668 12.718 4.958 2.578 14.568 9.858 14.618 10.348 10.008 10.298 2.378 5.048 14.328 10.008 8.648 7.288 7.768 9.708 10.248 10.148 12.338 10.388 5.248 12.138 12.818 13.208 10.248 11.948 6.608 14.328 11.698 12.038 7.038 9.908 5.538 12.378 0.348 13.398
34 15.678 12.718 13.058 15.488 10.298 16.998 12.578 17.088 12.678 12.338 16.558 14.808 16.168 16.608 12.918 13.108 11.658 16.168 14.568 16.798 14.668 14.858 14.618 12.478 15.298 12.138 12.478 9.618 12.528 15.728 16.898 12.528 15.388 15.098 16.068 15.048 7.528 10.728 15.098 14.758 10.388 16.798 16.268 10.538 15.298 9.568 14.858 11.998 12.478 15.048 17.628 8.788 15.048 14.858 16.748 9.028 15.098 8.158 13.058 9.758 15.098 15.048 14.418 10.248 10.298 9.668 12.478 15.048 11.898 17.188 9.278 9.328 12.578 8.648 9.178 8.888 8.788 8.888 9.028 14.808 9.278 12.238 9.568 9.568 9.668 10.588 9.518 9.568 9.178 15.048 11.698 11.948 9.278 10.728 9.618 12.478 8.308 10.148 9.568 7.088
38 12.918 12.428 12.378 12.138 11.998 12.138 12.918 11.998 12.378 12.378 11.998 12.378 12.138 12.138 12.378 12.428 12.378 12.138 11.998 12.918 12.918 12.428 12.138 11.998 11.998 12.378 12.138 12.138 11.998 12.138 12.428 11.998 11.998 12.138 12.428 11.998 12.378 12.138 12.338 12.378 12.918 12.428 12.138 11.998 12.378 12.138 11.998 11.948 12.138 12.378 12.378 12.288 12.138 12.428 12.138 11.998 12.378 12.918 12.338 12.378 12.378 11.998 12.138 12.138 12.338 11.998 11.998 11.998 12.138 12.378 12.918 12.428 12.378 12.378 11.998 11.998 12.138 12.918 12.138 12.138 12.138 12.428 12.918 12.138 11.998 11.998 12.378 11.998 12.138 12.918 12.138 11.998 12.918 11.998 9.958 11.998 12.918 9.468 12.918 12.138
43 17.428 13.448 11.508 14.078 17.038 16.068 11.558 17.188 5.978 7.578 17.718 14.568 9.958 16.458 16.948 7.188 16.508 11.608 8.938 5.098 5.728 8.648 12.038 11.318 17.968 6.458 6.268 5.298 3.738 14.328 10.778 16.508 4.028 8.738 10.588 4.808 11.358 11.218 18.108 7.678 13.888 5.978 9.328 12.378 9.958 12.138 4.708 0.928 10.048 2.338 10.638 11.558 15.248 10.148 6.168 7.038 3.208 15.778 11.068 8.888 5.388 8.258 4.518 15.638 9.518 5.198 4.958 8.548 4.418 4.668 10.588 4.178 1.118 5.638 2.238 9.178 5.348 1.848 11.798 12.138 4.278 5.678 9.568 4.028 3.888 4.178 4.908 7.088 5.588 6.408 3.838 1.558 1.458 1.318 0.348 7.188 3.938 4.128 2.038 1.018
44 16.318 17.288 16.218 18.258 17.088 18.108 14.858 18.158 17.188 14.178 16.698 16.268 18.058 15.638 17.338 18.158 18.308 18.008 16.218 16.118 18.008 13.258 13.308 14.758 14.958 17.578 12.288 14.568 16.118 18.008 15.778 14.178 17.038 17.678 17.088 17.428 16.268 13.398 14.568 17.968 16.118 14.668 14.228 15.978 17.628 14.468 17.768 15.728 13.108 12.338 11.948 17.088 15.588 14.468 12.818 16.168 9.958 12.718 10.098 11.268 12.378 13.008 14.368 7.968 12.628 11.948 12.818 11.658 10.638 10.878 9.468 11.948 12.088 14.328 16.118 13.058 15.008 12.378 11.508 11.948 17.768 12.528 14.278 12.818 10.488 12.378 15.828 11.358 10.928 13.688 11.948 10.008 8.938 10.638 12.378 6.408 14.228 10.198 13.548 13.008
49 18.308 15.438 17.338 14.368 17.718 18.208 17.628 11.018 11.698 17.528 17.238 18.208 17.718 18.158 18.348 18.108 18.208 17.628 10.538 4.858 0.248 18.108 17.678 18.308 12.288 15.148 17.088 17.768 15.678 13.258 13.348 9.178 13.398 5.438 11.458 1.998 16.408 0.0420000000000006 5.678 1.698 17.918 17.138 7.288 14.958 17.428 0.248 0.0919999999999995 5.388 12.718 12.478 17.238 17.968 17.868 0.242 0.382 0.248 8.888 12.628 2.678 14.668 18.258 17.768 10.638 1.848 15.098 12.718 0.0479999999999993 0.348 3.498 17.818 2.918 11.168 1.558 14.518 17.138 16.218 12.918 16.948 0.297999999999999 1.358 0.098 2.338 3.498 3.548 1.218 18.348 10.248 14.858 4.128 0.098 0.148000000000001 0.488000000000001 0.242 0.638000000000001 0.0420000000000006 0.198 1.068 0.638000000000001 0.248 0.148000000000001
50 13.108 12.678 17.238 1.848 12.088 15.348 14.328 15.828 15.098 10.678 1.458 11.268 12.578 15.978 9.568 10.348 14.418 18.158 2.718 2.038 15.638 13.688 12.338 2.428 15.678 15.538 17.288 16.798 13.988 7.868 13.688 15.878 15.778 11.798 11.068 8.348 15.728 12.868 13.738 12.578 10.978 11.218 15.048 10.928 11.458 12.918 8.548 9.028 12.338 9.518 14.328 15.538 13.108 13.208 16.118 9.328 10.978 13.688 16.508 14.708 12.528 15.678 5.248 14.278 12.768 14.328 17.628 14.078 15.008 15.728 8.108 12.818 9.958 3.398 13.598 1.998 2.478 15.488 16.558 11.948 17.718 8.598 9.078 10.878 9.958 1.508 11.508 14.178 6.218 5.248 13.598 10.388 14.178 2.428 12.678 15.438 5.048 2.968 9.468 2.968
53 10.538 14.518 15.008 0.0919999999999995 17.138 4.958 15.198 13.308 15.048 8.688 14.858 13.308 2.718 16.218 8.738 11.998 0.678 15.728 15.538 16.068 16.068 8.308 12.968 14.418 14.228 1.748 14.708 13.208 2.428 10.198 0.828 13.788 10.978 1.218 8.548 17.038 8.308 2.628 0.438 0.488000000000001 8.688 0.388000000000001 12.678 8.648 8.788 14.958 15.728 1.608 3.788 5.538 15.298 1.318 13.648 9.228 15.198 16.558 4.128 15.008 14.808 11.358 1.798 13.208 1.848 6.658 0.438 0.978000000000001 8.398 2.038 1.068 0.0479999999999993 16.508 1.218 0.828 3.108 5.878 8.988 0.588 0.588 0.638000000000001 0.388000000000001 0.537999999999999 4.128 0.877999999999999 1.508 0.297999999999999 1.018 0.00800000000000012 0.297999999999999 0.488000000000001 1.018 2.338 0.00800000000000012 1.318 2.628 0.438 0.098 0.00800000000000012 11.558 0.0479999999999993 5.538
56 17.628 16.318 15.928 13.548 15.778 16.848 16.218 16.658 15.388 15.348 15.348 13.008 14.668 15.248 11.118 18.448 12.038 14.368 13.688 14.908 16.998 12.868 4.178 13.308 14.858 13.548 13.008 12.968 6.698 5.488 11.748 0.382 10.878 6.698 7.038 11.798 5.828 5.928 8.398 14.228 3.348 12.038 2.678 16.358 5.728 5.828 13.398 12.478 6.458 14.568 15.488 10.298 16.018 5.388 10.828 14.858 5.348 2.338 13.788 11.798 6.168 3.548 16.068 4.518 1.748 16.458 10.248 11.798 7.578 15.388 0.0420000000000006 3.258 5.198 2.918 14.328 2.528 6.658 4.518 16.948 5.438 9.908 3.008 10.728 8.688 12.238 11.018 11.948 5.588 16.558 10.388 9.668 0.482 2.968 6.018 9.518 0.191999999999999 5.248 1.268 3.158 5.978
