"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
30 27.31 15.93 20.73 9.27 23.95 20.31 20.57 26.12 25.11 11.89 9.18 18.54 1.32 11.32 10.96 10.76 7.43 22.05 19.37 18.75 4.79 0.949999999999999 9.28 3.78 17.3 17.57 4.2 25.55 6.3 19.47 4.86 15.89 17.51 18.4 21.72 12.82 4.14 17.1 10.71 9 2.54 12.55 12.19 11.26 7.61 7.32 7.46 3.55 20.77 14.75 20.66 3.46 9.21 23.17 0.0599999999999987 18.84 7.44 4.82 14.6 21.17 21.55 23.7 6.84 5.95 9.6 14.99 16.06 16.9 14.28 13.89 0.529999999999999 13.65 13.28 7.41 22.06 10.76 16.87 14.83 0.229999999999999 2.07 8.71 2.56 8.48 12.16 17.58 14.2 3.32 1.6 7.17 21 17.6 13.08 11.62 15.5 12.44 13.01 12.36 12.19 9.56 3.4
32 5.99 16.05 8.75 6.18 16.51 9.37 4.73 9.63 22.79 18.91 5.2 4.74 4.8 11.85 13.05 6.01 16.74 5.36 8.74 6.34 5.36 13.27 14.23 6.47 13.27 13.27 3.72 9.16 10.23 12.38 7.25 13.75 12.66 5.56 5.39 4.85 10.87 5.1 19.85 7.17 2.72 11.68 17.04 11.27 14.07 5.86 2.57 1.54 18.23 4.37 5.97 14.53 2.6 19.46 4.28 10.26 20.19 14.47 9.66 8.21 5.74 17.21 17.66 23.77 16.33 20.11 11.29 12.75 15.34 18.36 21.93 3.15 12.19 20.24 19.21 9.91 0.139999999999999 9.03 13.37 2.88 4.87 0.880000000000001 14.93 7.74 13.04 6.18 11.26 19.73 21.33 7.25 1.72 19.92 8.29 6.63 7.27 18.06 15.22 8.79 11.38 8.18
34 9.47 20.24 5.48 21.67 20.01 27.15 15.73 21.67 12.6 5.06 18.32 18.87 8.29 13.54 12.11 16.54 21.66 15.52 18.66 23.22 9.36 23.82 12.66 14.66 11.29 5.58 8.83 12.1 23.24 11.68 11.99 15.38 6.49 10.98 14.79 13.36 7.87 17.43 11.2 14.12 17.9 6.72 10.71 13.91 14.33 12.07 4.65 11.3 9.41 8.68 8.32 6.51 15.91 14.32 0.520000000000001 12.02 6.29 12.72 11.19 18.38 14.28 15.94 23.37 6.64 6.29 12.53 19.74 3.22 7.89 9.34 9.02 9.82 8.95 6.51 7.65 25.2 1.81 4.48 6.54 6.4 3.19 16.2 17.85 10.12 21.2 1.49 9.64 7.11 19.79 11.25 10.34 7.84 17.33 11.51 7.9 10.12 17.81 23 3.66 0.47
38 14.69 7.36 15.68 20.04 20.95 11.26 8.75 14.89 11.44 12.17 14.4 12.58 17.17 5.67 16.52 4.95 4 16.55 8.2 18.84 22.02 22.06 5.27 16.72 8.46 21.39 6.16 10.18 21.12 17.89 13.56 9.16 16.1 9.87 14.49 8.41 10.16 14.15 13.52 13.32 11.4 21.28 12.38 22.98 21.23 12.56 9.67 15.68 7.19 13.72 6.54 12.32 22.3 18.56 5.35 13.04 20.59 5.67 10.5 21.51 12.05 4.34 18.18 22.7 22.72 20.23 18.52 8.68 20.06 5.58 3.12 18.04 19.82 12.21 18.57 21.74 5.77 7.05 11.71 21.09 10.46 7.65 4.4 7.51 15.93 8.05 12.45 5.67 16.28 16.99 21.01 20.3 5.06 13.32 14.64 22.09 3.64 14.18 6.13 22.62
43 6.57 8.45 24.68 7.74 12.64 11.42 4.84 10.67 21.34 20.38 26.18 12.5 14.99 19.48 6.01 12.65 21.38 5.45 18.26 14.54 8.51 6.05 2.44 1.72 13.06 25.81 17.2 16.14 7.97 3.87 7.53 12.16 1.96 8.41 2.6 1.99 12.85 20.69 3.47 16.96 7.75 3.05 8.92 12.69 18.26 4.48 0.239999999999999 7.82 7.11 4.03 2.17 14.8 16.02 11.79 10.66 2.93 13.53 9.79 19.04 18.79 14.14 1.88 3.64 2.24 14.13 4.02 4.68 0.17 2.47 10.3 8.55 10.48 22.67 7.28 12.33 0.88 4.05 4.63 11.08 6.79 10.94 18.9 6.87 6.1 0.69 4.76 3.89 8.89 3.4 2.12 6.62 3.5 11.99 11.36 14.19 14.57 3.54 7.1 12.16 4.29
44 21.2 10.6 18.45 17.79 23.27 9.51 25.94 20.77 9.73 11.25 0.579999999999998 17.36 11.45 9.61 19.91 15.21 27.89 20.75 13.3 17.41 13.89 9.38 27.26 23.13 21.71 9.36 24.13 11.69 20.52 22.1 14.44 13.14 20.98 18.44 3.65 13.66 11.55 12.06 12.79 23.28 7.85 18.74 13.66 18.48 17.98 10.49 6.59 20.34 25.21 17.3 9.43 9.15 23.19 9.11 8.95 11.54 13.47 23.44 19.23 5.44 18.06 25.74 20.47 15.94 21.21 15.24 9.12 11.67 16.57 14.13 9.62 16.28 11.4 14.17 4.31 15.01 18.95 12.53 4.8 16.43 21.83 2.27 15.9 13.84 16.27 25.38 11.48 7.51 3.49 18.32 9.06 22.19 10 9.05 12.13 22.83 14.81 22 12.23 20.73
49 10.21 11.66 15.68 22.79 27.21 16.67 16.8 21.73 22.13 21.2 20.37 28.28 17.08 26.02 8.75 10.09 23.5 8.95 11.13 17.07 18.28 19.93 10.64 8.67 4.73 10.32 14.45 14.6 14.22 6.99 13.17 12.8 3.25 10.27 15.98 28.38 2.68 6.68 19.15 20.85 13.69 1.31 11.52 1.7 7.25 11.69 14.64 18.73 8.33 7.84 4.92 15.64 7.88 6.46 13.89 6.64 25.24 12.16 19.51 11.83 24.89 2.05 17.91 23.21 2.82 20.33 8.29 25.18 7.08 4.04 10.14 4.5 2.88 13.32 6.82 5.85 10.68 12.82 13.01 7.63 4.44 16.48 5.77 7.95 0.659999999999999 13.39 5.16 5.58 8.76 0.55 3.32 19.84 2.1 2.72 0.0700000000000005 2.93 7.67 9.23 5.39 0.49
50 12.09 6.21 24.4 14.11 14.08 0.78 15.17 7.88 5.72 19 19.63 11.27 6.71 8.16 16.71 10.32 3.43 21.44 17.78 7.06 10.99 5.64 19.43 7.86 12.01 14.65 10.4 10.99 1.6 12.72 13.37 11.53 13.59 18.4 15.53 8.18 8.96 11.84 3.96 10.46 7.85 12.31 11.43 22.9 27.86 9.61 20.45 10.72 15.01 24.52 14.63 9.35 19.2 12.47 21.75 16.75 13.8 10.32 9.54 20.74 22.31 6.31 15.89 1.13 22.9 21.31 8.95 18.51 9.16 6.05 15.53 15.92 23.92 18.67 13.94 7.9 8.54 6.5 20.87 23.5 19.51 8.61 5.09 10.98 15.77 6.44 17.06 16.28 9.05 3.34 11.51 8.25 20.32 4.6 8.17 16.38 4.29 0.88 8.63 1.06
53 10.2 14.83 11.01 17.59 4.83 7.73 21.56 10.45 8.84 17.38 1.9 11.13 1 9.75 4.24 22.76 17.98 10.05 11.44 8.85 10.9 13.87 17.37 17.09 22.93 15.9 6.48 15.95 6.81 5.09 6.92 6.69 11.49 6.28 13.49 7.75 13.85 22.43 14.32 24.88 0.629999999999999 3.41 2.23 17.46 7.07 16.09 4.27 22.33 1.48 3.59 10.27 15.4 17.16 16.08 15.86 6.92 19.21 5.75 8.11 6.98 9.23 6.52 19.41 16.65 0.15 1.8 16.35 4.57 5.28 7.52 6.65 5.5 3.02 16.75 3.59 4.82 5.77 2.11 4.5 4.33 10.32 4.67 16.1 4.55 1.82 3.51 6.1 1.17 12.58 2.91 8.79 10.3 14.64 4.18 5.58 2.18 8.52 2.59 11.73 5.36
56 5.75 16.95 10.13 20.78 10.27 8.32 7.33 20.35 13.23 11.51 17.04 12.46 0.81 5.12 9.43 20.67 18.6 6.28 21 0.8 19.26 7.59 9.6 9.77 4.19 18.97 9.1 26.89 2.82 0.0599999999999996 6.33 4.91 22.29 11.04 22.03 26.02 9.01 16.47 4.93 5.8 12.39 1.34 4.64 5.5 19.2 11.29 13.26 3.29 3.78 8.1 1.41 0.14 6.93 11.64 2.95 18.22 20.38 3.51 11.39 9.99 4.32 14.16 5.17 22.2 14.18 20.76 1.18 12.47 16.42 21.22 8.81 2.67 12.88 5.07 10.22 10.87 3.97 0.95 10.47 4.59 2.69 7.24 4.1 8.11 17.62 5.29 3.49 2.24 5.59 12.83 1.45 9.15 5.83 7.34 7.17 26.12 11.54 10.19 7.95 14.09
