"uID" "rec1" "rec2" "rec3" "rec4" "rec5" "rec6" "rec7" "rec8" "rec9" "rec10" "rec11" "rec12" "rec13" "rec14" "rec15" "rec16" "rec17" "rec18" "rec19" "rec20" "rec21" "rec22" "rec23" "rec24" "rec25" "rec26" "rec27" "rec28" "rec29" "rec30" "rec31" "rec32" "rec33" "rec34" "rec35" "rec36" "rec37" "rec38" "rec39" "rec40" "rec41" "rec42" "rec43" "rec44" "rec45" "rec46" "rec47" "rec48" "rec49" "rec50" "rec51" "rec52" "rec53" "rec54" "rec55" "rec56" "rec57" "rec58" "rec59" "rec60" "rec61" "rec62" "rec63" "rec64" "rec65" "rec66" "rec67" "rec68" "rec69" "rec70" "rec71" "rec72" "rec73" "rec74" "rec75" "rec76" "rec77" "rec78" "rec79" "rec80" "rec81" "rec82" "rec83" "rec84" "rec85" "rec86" "rec87" "rec88" "rec89" "rec90" "rec91" "rec92" "rec93" "rec94" "rec95" "rec96" "rec97" "rec98" "rec99" "rec100"
30 17.51 23.95 27.31 9.18 9.27 6.3 10.76 12.82 19.47 3.78 22.05 17.1 20.73 14.99 17.57 17.3 19.37 20.31 11.32 20.57 10.96 9.28 7.32 23.7 20.66 26.12 15.89 11.89 21.72 18.75 4.79 15.93 14.2 14.75 16.9 12.16 12.55 2.56 16.06 4.82 2.54 9 1.32 9.21 3.46 10.71 22.06 4.2 12.19 7.43 5.95 4.86 0.229999999999999 4.14 25.55 17.58 13.89 18.54 1.6 13.65 13.08 20.77 7.61 2.07 25.11 23.17 21.17 18.4 7.46 14.6 3.55 0.949999999999999 11.62 7.44 11.26 8.71 17.6 16.87 14.28 6.84 7.17 0.529999999999999 9.56 9.6 12.44 21.55 8.48 0.0599999999999987 21 15.5 14.83 18.84 10.76 7.41 3.32 12.19 3.4 13.28 12.36 13.01
32 4.74 13.05 8.75 17.21 17.04 4.73 10.87 5.99 7.25 4.37 3.72 5.2 6.34 5.39 6.47 16.05 13.37 15.34 6.01 9.37 6.18 16.51 18.23 22.79 17.66 10.23 16.74 9.16 18.06 12.66 0.139999999999999 18.91 5.36 5.74 12.38 7.74 20.19 11.85 23.77 8.74 21.93 7.17 9.63 13.75 13.27 5.56 1.54 20.11 14.53 10.26 20.24 4.8 14.07 12.75 9.03 4.85 2.6 2.57 2.72 9.91 8.21 5.36 13.27 11.27 4.28 11.29 15.22 5.1 6.18 16.33 19.73 19.21 5.97 5.86 21.33 18.36 6.63 3.15 13.04 7.27 9.66 0.880000000000001 14.23 1.72 4.87 14.47 13.27 19.46 19.92 14.93 11.68 8.29 2.88 19.85 11.26 11.38 12.19 8.79 8.18 7.25
34 14.12 12.11 27.15 14.79 20.01 18.66 5.06 18.32 11.3 18.87 18.38 11.68 9.47 20.24 17.9 5.48 14.32 15.52 11.2 14.66 15.38 12.66 4.65 21.67 23.82 9.41 17.43 15.73 10.98 9.64 8.29 7.9 5.58 6.64 12.02 12.1 10.12 13.54 9.02 11.19 6.49 12.72 10.34 21.66 14.33 9.36 7.87 7.84 14.28 21.67 16.54 15.91 12.53 6.72 12.07 13.36 3.22 23.24 6.51 12.6 8.32 8.83 10.71 21.2 13.91 19.74 8.68 19.79 8.95 0.520000000000001 11.25 15.94 7.11 7.65 6.29 4.48 11.29 23.22 11.99 23.37 23 1.49 6.29 6.4 6.54 9.82 16.2 1.81 25.2 7.89 17.85 6.51 9.34 3.66 17.33 11.51 0.47 17.81 10.12 3.19
38 17.89 13.72 7.36 16.1 21.39 20.95 17.17 9.87 12.58 9.16 18.52 5.27 11.44 22.98 16.52 22.06 10.18 5.67 14.15 8.46 10.46 13.52 16.72 12.17 22.7 20.06 8.2 13.56 11.26 8.75 20.04 21.23 10.5 12.21 14.49 7.65 14.89 11.4 18.57 21.74 4.95 3.12 15.68 20.59 13.04 21.28 20.3 14.69 12.05 22.02 16.99 7.19 8.05 16.55 5.35 6.54 12.56 4.34 21.51 11.71 22.3 14.4 12.32 21.12 9.67 6.16 5.67 18.84 18.18 8.41 13.32 15.68 18.04 7.51 10.16 18.56 12.45 4 21.09 12.38 8.68 20.23 14.64 7.05 5.67 22.72 4.4 19.82 5.58 16.28 5.06 21.01 15.93 13.32 6.13 14.18 5.77 3.64 22.09 22.62
43 16.02 12.5 6.57 8.45 16.14 18.26 18.26 24.68 3.47 2.6 7.75 13.06 9.79 12.64 11.42 19.04 7.82 14.99 19.48 26.18 21.34 17.2 20.38 10.67 4.84 12.33 5.45 1.72 8.51 2.44 8.41 7.74 25.81 12.16 21.38 3.87 12.65 7.97 6.05 11.08 7.53 14.54 1.96 1.99 8.89 12.85 14.19 0.239999999999999 2.93 0.88 20.69 18.79 13.53 12.69 3.4 16.96 4.48 3.64 1.88 14.8 11.99 10.66 3.05 6.01 4.03 18.9 11.79 6.79 11.36 2.47 2.12 4.76 2.17 7.11 10.3 8.55 0.17 12.16 8.92 0.69 14.14 2.24 4.68 6.1 10.48 7.28 22.67 4.02 3.54 3.5 14.13 4.05 6.87 14.57 4.63 7.1 6.62 10.94 4.29 3.89
44 25.94 11.55 27.89 25.38 19.23 9.38 20.77 19.91 18.74 25.21 23.19 20.52 15.21 22.19 9.73 17.79 11.45 11.67 12.79 13.66 9.15 16.28 13.47 27.26 8.95 23.13 22.1 11.25 9.51 20.73 20.47 20.98 7.85 15.9 13.3 16.43 12.06 11.69 9.12 9.61 12.53 18.95 4.31 14.17 9.36 25.74 17.41 11.54 23.27 20.34 14.44 12.13 3.65 21.21 15.94 17.36 17.98 18.48 21.83 24.13 21.2 11.48 5.44 21.71 10.49 17.3 18.45 18.06 6.59 15.01 13.14 23.44 0.579999999999998 20.75 3.49 10.6 13.89 22.83 13.84 12.23 18.44 22 11.4 23.28 9.06 15.24 14.13 4.8 2.27 7.51 9.05 13.66 14.81 9.43 10 9.11 9.62 16.57 18.32 16.27
49 27.21 15.68 18.28 16.8 10.21 10.09 11.66 16.67 21.2 21.73 20.37 23.21 28.28 23.5 10.64 26.02 20.85 17.08 2.05 20.33 10.14 10.32 19.93 3.25 2.68 4.92 14.45 14.22 22.79 4.73 19.51 13.17 5.16 17.07 6.99 4.04 8.29 6.82 15.64 22.13 24.89 2.88 11.52 14.6 1.7 14.64 12.8 8.95 7.88 28.38 8.67 6.68 8.76 6.46 18.73 11.69 11.13 6.64 10.68 15.98 17.91 11.83 19.15 1.31 5.77 13.01 25.24 7.84 7.25 12.16 3.32 8.75 13.89 25.18 8.33 2.72 10.27 2.1 5.85 7.95 13.39 0.659999999999999 4.5 12.82 13.69 7.63 13.32 7.08 2.82 16.48 4.44 0.55 19.84 2.93 5.58 9.23 0.0700000000000005 7.67 0.49 5.39
50 13.59 12.09 23.5 24.4 18.51 11.53 7.88 10.46 10.4 14.08 13.37 17.78 5.72 6.71 3.43 14.11 15.77 15.17 0.78 10.99 16.28 16.71 22.9 12.72 22.9 9.61 15.53 10.32 12.01 6.21 20.87 5.09 8.96 20.74 9.16 12.31 7.86 10.99 24.52 6.31 23.92 7.9 11.27 11.43 22.31 12.47 13.8 6.44 19.43 9.35 15.01 8.61 14.65 13.94 15.89 19.51 8.95 21.75 9.54 10.32 16.75 1.6 7.85 10.72 10.98 19.63 1.13 18.4 19.2 6.05 19 20.45 27.86 8.16 8.18 7.06 15.53 9.05 21.44 21.31 8.54 17.06 16.38 11.51 15.92 18.67 20.32 11.84 6.5 14.63 5.64 4.29 8.17 8.25 0.88 3.96 8.63 3.34 1.06 4.6
53 17.37 15.95 17.46 22.43 6.65 13.49 6.98 1.9 13.85 10.2 10.05 22.76 13.87 4.24 4.27 17.09 17.38 10.45 14.83 9.75 11.01 4.18 8.84 7.52 16.65 24.88 6.81 6.92 8.85 6.28 22.93 9.23 7.73 15.9 19.41 17.59 3.59 5.09 5.77 11.44 11.49 19.21 15.4 22.33 14.32 16.08 6.69 6.92 10.27 11.13 12.58 1 7.75 4.5 4.33 16.1 21.56 10.9 10.32 5.75 4.83 16.35 3.41 17.16 0.629999999999999 8.11 4.67 1.48 17.98 16.09 6.48 2.11 4.57 1.82 5.5 5.36 2.23 14.64 4.82 15.86 5.58 1.8 6.1 7.07 3.59 1.17 16.75 6.52 4.55 5.28 2.59 2.91 0.15 2.18 10.3 3.02 3.51 8.79 8.52 11.73
56 5.17 9.43 17.04 5.75 16.95 10.27 5.12 10.13 19.26 12.83 20.67 26.02 20.35 12.46 1.45 13.23 11.51 26.89 22.29 18.6 6.93 14.16 0.81 6.33 5.8 18.97 20.78 7.59 8.32 20.38 1.34 22.2 3.29 13.26 6.28 2.95 11.04 19.2 12.47 12.39 0.8 0.14 21 2.24 0.0599999999999996 20.76 5.5 3.78 8.1 5.07 16.47 9.6 4.32 4.1 22.03 8.81 1.18 11.29 11.64 1.41 4.64 3.51 18.22 14.09 4.19 4.59 9.77 10.47 14.18 9.1 5.83 7.33 26.12 0.95 11.39 16.42 7.17 4.91 9.01 11.54 5.29 21.22 9.15 10.22 2.82 8.11 3.49 4.93 7.24 9.99 12.88 17.62 10.87 2.69 3.97 7.95 2.67 7.34 5.59 10.19
