"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
1,18.158,18.158,18.158,17.378,17.818,18.398,8.208,18.058,16.898,12.578,13.688,10.248,16.508,17.478,17.918,17.818,0.482,12.338,18.208,9.128,13.108,16.168,18.348,16.948,15.538,17.528,16.998,17.818,17.038,11.948,16.318,2.678,8.888,18.208,8.308,13.258,9.228,12.818,8.988,15.388,16.268,13.548,4.858,5.978,14.028,7.378,13.648,9.758,9.278,17.818,14.028,15.928,9.518,17.818,8.888,5.348,4.858,16.698,7.038,11.998,5.348,15.248,13.888,9.908,12.868,4.228,18.208,16.748,10.048,13.738,17.088,8.258,8.788,0.148000000000001,8.498,7.038,9.958,13.258,10.148,15.678,8.258,16.608,7.868,7.718,4.278,5.978,5.828,10.298,2.478,12.238,6.798,3.838,10.048,12.478,13.738,13.838,4.178,8.448,7.968,13.598
5,0.488000000000001,3.008,7.378,8.498,3.498,8.548,3.108,5.638,0.248,6.218,4.178,9.668,8.688,5.638,5.728,6.998,0.242,5.828,7.768,8.058,7.238,7.628,1.358,8.308,2.288,9.228,5.488,2.378,6.318,5.248,1.268,2.968,8.498,6.998,5.248,2.968,8.838,7.238,0.588,6.168,0.098,2.678,0.632,1.558,1.268,6.318,0.632,3.988,6.898,1.118,9.708,2.818,5.978,0.348,8.888,0.198,4.468,0.0919999999999995,2.138,9.618,3.938,2.528,2.528,5.728,3.058,2.238,3.788,6.898,8.598,4.958,6.798,3.648,3.448,0.0919999999999995,6.948,0.678,4.568,0.242,4.128,3.688,4.858,2.188,10.248,1.898,2.088,4.178,3.688,4.858,3.058,1.698,0.482,2.578,2.238,2.868,1.408,7.288,0.382,0.672,4.758,9.908
7,16.018,10.778,4.758,12.628,12.338,18.448,0.0420000000000006,16.748,9.078,16.608,1.848,8.938,12.718,5.048,0.632,18.448,3.738,17.378,14.858,0.148000000000001,10.588,10.488,5.828,8.738,4.758,1.998,13.348,18.108,9.078,4.468,4.958,3.058,8.888,7.918,9.178,18.348,7.038,5.388,2.238,0.198,16.408,2.718,2.088,5.978,0.297999999999999,10.978,9.078,9.468,3.738,5.778,1.318,2.968,2.038,12.968,10.298,11.318,1.748,10.198,5.008,5.728,5.928,0.248,1.798,1.218,4.668,2.968,6.268,11.658,7.088,4.758,12.188,7.478,3.108,0.722,3.498,1.018,1.218,3.498,3.988,8.058,3.208,0.722,6.018,8.838,9.128,0.098,4.618,6.798,10.488,9.278,9.668,1.318,6.558,9.708,0.672,15.008,0.0479999999999993,0.722,0.928,5.008
8,8.888,15.538,15.538,12.528,9.708,14.028,13.738,10.148,9.708,10.588,10.588,14.708,14.028,8.888,8.688,8.888,11.458,12.088,10.388,13.348,11.018,8.888,8.888,11.018,15.538,8.888,13.158,8.888,10.148,8.888,8.888,13.348,13.598,8.888,13.548,14.028,14.908,10.588,7.338,8.888,13.838,8.888,8.888,8.888,6.268,8.888,8.888,10.588,8.888,7.138,10.588,9.958,1.318,8.888,14.278,5.638,7.578,12.968,11.798,5.978,2.288,6.948,3.838,12.528,5.778,5.388,7.578,6.268,5.638,8.888,5.978,4.758,8.888,7.768,4.228,8.888,5.828,8.888,0.438,10.388,5.778,6.068,2.868,4.418,2.678,0.242,8.888,2.188,0.248,0.438,2.288,8.888,2.188,8.888,3.888,3.888,3.888,2.188,0.438,4.328
11,15.388,15.778,14.328,15.148,16.748,7.378,10.488,8.208,16.798,11.558,10.978,10.298,12.238,9.418,6.608,6.408,6.748,11.608,13.448,12.628,10.638,7.768,12.478,4.708,6.798,11.218,8.688,7.818,9.468,11.558,9.758,11.748,11.658,13.258,8.938,13.838,13.008,10.638,10.098,11.068,10.878,9.028,9.328,11.608,9.858,10.878,8.688,8.598,9.028,7.138,6.658,14.808,7.038,14.618,8.548,8.598,6.318,7.188,9.908,14.178,7.528,11.218,7.818,7.918,11.508,5.388,8.548,9.808,9.908,10.298,6.268,10.008,9.278,5.878,10.638,10.928,13.688,11.218,10.928,10.538,9.708,14.708,8.498,6.558,9.178,9.858,8.888,4.568,6.798,11.218,11.608,5.678,6.898,1.948,4.078,2.288,4.028,4.808,3.888,7.138
13,18.448,18.158,16.748,16.318,18.398,8.888,18.398,18.258,15.678,17.628,12.918,18.258,18.158,16.948,18.498,17.968,17.718,18.058,18.348,14.178,17.718,16.798,18.108,17.968,17.528,17.378,16.798,15.488,12.868,13.598,17.338,16.408,16.748,10.348,10.248,18.448,18.348,15.978,17.238,9.618,12.038,10.048,12.678,18.108,17.478,17.528,14.618,1.948,17.628,15.048,18.398,17.378,17.288,15.148,18.348,17.528,9.328,17.868,16.608,17.768,3.398,18.108,14.758,13.258,17.868,2.038,3.258,16.018,0.728000000000001,0.0479999999999993,0.632,17.968,0.488000000000001,15.538,18.398,18.208,16.608,16.318,2.038,17.378,2.968,16.608,1.018,17.868,17.338,2.628,1.848,14.708,0.0919999999999995,10.928,17.378,8.348,11.268,12.528,8.158,6.798,18.108,13.058,1.698,1.608
14,17.868,10.348,17.968,10.298,0.588,1.558,12.338,13.598,14.418,8.498,14.808,17.868,16.698,12.718,8.598,17.768,13.208,8.648,6.168,18.058,15.728,8.838,8.348,4.368,0.0420000000000006,7.578,3.208,15.248,8.738,10.638,12.528,5.388,1.168,6.798,6.018,17.868,15.198,14.278,0.332,12.378,11.748,4.568,3.398,4.328,13.208,15.048,17.088,2.138,4.808,9.668,13.688,0.828,17.478,4.128,1.218,14.228,6.608,3.448,0.438,5.438,17.868,17.818,4.328,11.898,10.878,3.258,3.688,1.268,0.348,12.718,6.168,1.508,4.228,0.292000000000001,9.668,5.388,4.858,12.868,3.348,12.768,14.028,0.198,17.478,0.332,1.898,4.368,0.638000000000001,12.968,6.218,7.188,0.332,5.488,14.028,5.678,0.292000000000001,17.718,16.948,2.428,2.138,13.598
15,14.908,14.908,15.148,5.638,14.958,5.678,11.168,7.528,14.418,1.998,12.378,13.108,4.128,7.188,14.568,9.808,15.198,5.778,14.708,14.078,9.418,6.748,16.218,8.308,5.298,10.978,12.288,10.828,13.348,2.578,10.728,12.578,7.818,8.688,9.708,9.368,13.398,8.988,13.398,5.388,5.538,12.628,8.058,8.498,15.588,13.398,6.898,13.648,4.518,8.008,4.708,12.918,11.218,6.218,6.318,8.498,6.408,9.668,4.668,16.458,7.238,11.508,15.388,6.898,5.348,10.148,10.878,5.048,11.998,9.178,3.258,5.878,5.728,13.108,5.978,1.218,3.498,12.088,5.248,13.108,2.578,3.008,5.488,10.198,6.948,12.238,13.398,4.958,6.798,6.218,4.808,2.918,11.698,5.048,8.788,3.938,4.808,2.378,8.888,8.498
17,15.098,16.658,16.508,13.058,14.958,17.038,15.678,16.798,10.148,12.338,17.138,12.238,16.508,10.008,15.638,11.798,11.608,9.128,16.898,11.658,14.708,9.028,13.108,14.858,15.008,15.828,6.998,10.008,12.288,10.148,12.238,16.798,12.818,11.698,12.968,12.868,14.908,9.668,9.468,14.568,9.708,10.348,14.808,11.698,14.758,16.558,12.338,10.388,14.278,10.248,10.008,9.368,17.038,13.308,13.838,14.858,10.248,11.798,14.278,14.808,17.428,17.238,11.998,12.478,16.358,11.318,13.398,13.108,9.418,16.658,12.968,9.758,9.368,12.678,12.868,12.038,13.838,16.358,15.928,13.258,9.958,16.798,12.768,10.148,9.668,7.968,13.888,12.868,10.928,14.668,9.278,11.608,16.848,10.198,11.408,14.228,11.748,12.918,8.448,10.148
23,17.678,12.238,16.608,16.998,17.338,16.698,17.678,9.078,17.428,15.388,9.278,12.628,16.458,0.332,17.428,11.218,14.078,14.468,16.608,11.948,11.898,14.708,15.048,15.638,15.388,9.568,8.258,9.518,12.718,8.258,11.848,8.688,3.348,9.368,8.498,17.628,17.528,15.978,8.398,15.828,15.148,1.798,12.768,0.828,8.008,9.128,4.758,17.678,9.278,8.598,16.458,12.038,14.958,9.568,8.548,14.908,12.288,13.938,15.098,14.518,8.348,14.958,5.878,10.348,13.158,8.938,12.478,11.268,8.838,3.888,5.678,10.728,9.278,9.078,11.458,7.818,10.098,0.978000000000001,10.388,4.128,0.778,0.488000000000001,2.868,3.988,7.968,10.778,10.678,5.098,4.758,13.348,4.858,1.068,0.638000000000001,1.318,2.038,1.608,2.918,0.148000000000001,3.598,5.198
