"uID","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","rec21","rec22","rec23","rec24","rec25","rec26","rec27","rec28","rec29","rec30","rec31","rec32","rec33","rec34","rec35","rec36","rec37","rec38","rec39","rec40","rec41","rec42","rec43","rec44","rec45","rec46","rec47","rec48","rec49","rec50","rec51","rec52","rec53","rec54","rec55","rec56","rec57","rec58","rec59","rec60","rec61","rec62","rec63","rec64","rec65","rec66","rec67","rec68","rec69","rec70","rec71","rec72","rec73","rec74","rec75","rec76","rec77","rec78","rec79","rec80","rec81","rec82","rec83","rec84","rec85","rec86","rec87","rec88","rec89","rec90","rec91","rec92","rec93","rec94","rec95","rec96","rec97","rec98","rec99","rec100"
1,12.61,21,26.33,11.9,9.81,28.17,26.77,20.46,15.03,12.57,19.5,9.52,12.27,16.79,25.4,11.39,19.55,8.66,12.75,18.16,11.43,27.48,19.35,7.74,4.04,18.97,20.42,20.36,8.94,3.33,5.13,25.39,20.15,12.39,23.12,15,10.24,10.29,4.84,25.3,16.49,16.04,25.09,5.52,21.31,24.81,26.22,12.25,10.06,5.24,21.45,13.21,6.04,10.39,2.34,5.8,24.67,9.28,0.0499999999999998,26.06,5.22,8.15,21.52,15.47,3.64,6.79,12.78,25.56,0.5,20.44,10.44,20.86,17.76,11.95,4.13,10.16,15.19,14.76,6.02,8.06,13.05,13.45,18.04,23.45,18.51,16.16,2.93,24.54,2.77,17.34,7.71,1.16,2.16,13.05,10.39,11.41,15.71,2.83,10.04,20.36
5,9.48,5.36,16.41,8.09,3.34,7.61,0.54,0.130000000000001,10.37,3.39,9.43,2.56,12.91,6.31,2.88,14.29,13.16,4.56,0.279999999999999,7,0.130000000000001,8.1,11.58,2.71,4.94,3.26,6.92,1.65,16.58,13.39,7.8,2.83,12.44,16.35,8.74,17.68,10.27,10.44,2.37,15.24,16.52,7.96,0.16,3.37,3.63,1.78,4.23,9.72,2.45,8.15,8.4,4.02,3.4,3.95,8.86,7.88,5.56,4.1,16.72,5.2,8.42,15.61,10.44,7.62,3.7,8.02,2.56,1.6,5.01,12.65,0.0099999999999999,0.23,3.39,2.11,1.94,6.53,17.44,8.24,3.36,3.42,11.64,2.57,2.87,6.1,0.41,10.51,0.32,2.92,6.92,1.62,12.09,11.66,5.48,1.43,7.29,5.33,2.86,3.2,0.2,7.29
7,5.92,13.75,11.04,14.85,21.46,9.72,23.68,27.76,2.35,13.5,8.4,10.1,21.29,15.43,11.16,24.62,9.58,2.33,4.37,14.19,23.44,10.48,0.26,6.18,3.38,7.23,1.2,3.86,8.24,0.56,20.04,6.77,3.07,21.56,5.86,12.4,10.01,12.67,11.17,11.25,12.44,14.42,9.91,12.55,6.12,17.63,4.33,9.32,10.95,1.14,11.38,5.48,1.03,1.92,5.28,16.42,1.53,5.87,0.0999999999999996,9.61,2.65,4.01,6.54,5.99,6.14,1.6,0.14,15.55,4.58,8.83,5.88,20.4,13.97,5.66,1.86,4.14,1.75,0.98,2.73,0.96,11.58,3.52,4,12.07,7.17,13.54,10.94,12.94,4.91,8.77,2.37,2.51,5.59,3.05,7.76,3.19,7.11,8.04,17.89,0.73
8,15.6,10.53,0.970000000000001,19.33,3.19,15.73,14.53,20.92,15.71,16.51,3.94,18.34,13.49,3.72,18.99,21.93,16.13,7.97,5.47,4.63,13.25,11.81,9.52,14.98,6.21,10.04,10.58,14.49,12.4,3.27,23.34,5.61,12.8,7.3,15.69,9.22,15.16,9.89,16.51,11.06,14.82,13.03,18.54,2.96,13.24,13.35,22.89,17.18,8.67,11.4,9.37,11,8.02,15.04,6.8,3.5,11.42,22.59,5.02,1.35,17.07,11.89,1.94,9.27,6.69,6.74,4.68,21.16,10.29,7.9,3.94,4.87,6.58,1.16,16.83,13.48,11.02,4.35,10.12,6.54,4.17,0.24,17.61,3.2,2.68,5.53,12.78,14.59,7.32,5.99,10.38,8.84,13.26,3.61,2.19,10.18,3.44,1.97,2.93,3.62
11,23.08,20.48,5.15,6.75,4.9,20.92,20.39,13.63,3.27,8.31,10.38,6.31,0.0299999999999994,1.61,17.37,14.84,13.41,6.69,13.15,1.08,22.38,9.62,15,17.59,8.68,14.15,13.42,10.7,7.61,11.94,16.04,10.71,1.59,4.19,9.9,6.31,5.43,5.92,19.77,14.62,17.11,20.38,15.82,12.65,3.02,8.2,15.97,5.1,0.53,6.24,0.460000000000001,4.24,5.12,15.93,8.1,7.1,9.05,21.02,10.41,12.28,5.6,16.89,0.830000000000001,15.22,15.16,7.72,2.47,15.55,17.13,17.01,8.49,16.75,2.06,14.06,12.59,3.99,18.37,0.369999999999999,7,4.52,1.53,8,0.880000000000001,15.21,11.32,18.88,20.2,12.27,11.09,19.68,10.35,10.99,14.44,13.53,16.46,0.830000000000001,4.84,8.79,0.96,16.77
13,17.94,16.54,21.32,20.16,26.82,24.31,12.96,10.09,14.76,26.38,10.25,14.33,22.44,18.94,23.79,8.67,9.66,17.48,18.36,19.1,28.42,17.23,23.93,15.17,16.15,23.69,16,27.06,10.9,17.71,15.2,9.65,19.29,20.27,27.38,12.83,8.19,24.37,12.45,17.06,11.97,12.42,12.57,4.47,10.43,20.85,20.73,10.83,16.35,15.89,18.68,4.26,11.29,9.8,25.66,14.43,9.16,10.01,12.95,16.18,4.61,7.33,20.83,4.88,25.22,24.02,16.62,13.66,26.63,6.75,22.64,3.62,17.16,3.77,10.38,9.9,16.55,5.69,22.56,4.13,21.05,5.59,13.9,4.48,9.85,9.1,4.44089209850063e-16,9.89,25.71,18.17,5.37,15.97,2.28,12.77,6.92,6.48,3.83,10.49,19.13,7.41
14,3.39,1.24,0.149999999999999,19.92,18.73,24.57,9.42,14.08,5.64,10.46,9.88,10.16,19.48,22.61,13.81,23.22,19.51,13.39,8.5,5.54,0.38,13.44,5.37,9.79,14.11,13.96,12.53,1.47,25.08,5.97,15.68,7.08,26.1,3.58,10.1,0.18,15.51,1.3,8.34,25.59,14.1,6.59,1.79,23.39,7.62,12.32,3.68,13.29,0.100000000000001,13.95,23.14,8.01,4.61,13.61,7.26,10.72,18.16,5.36,13.25,14.77,20.45,20.13,13.94,9.92,4.01,15.62,13.91,4.6,11.89,4.11,7.2,15.57,1.49,11.18,8.03,8.95,1.32,11.04,23.21,4.5,2.62,12.65,12.2,3.09,11.53,2.91,10.23,8.06,8.89,7.56,2.39,19.63,5.86,2.44,2.63,7.97,16.28,3.87,11.17,11.15
15,7.35,7.64,17.62,11.87,12.13,4.04,18.91,11.2,1.03,10.56,7.43,25.6,0.260000000000001,23.46,10.55,16.16,8.21,12.29,16.29,16.14,8.41,22.68,8.27,12.66,13.3,22.47,14.62,9.62,10.21,17.4,12.24,16.97,17.19,12.5,7.76,7.62,17.06,5.38,4.62,8.57,20.57,13.14,15.17,4.38,18.75,7.08,7.36,7.76,8.98,10.88,10.85,9.07,2.27,11.16,1.67,2.27,9.5,7.28,14.2,8.88,14.69,2.1,5.38,1.49,9.72,13.58,15.47,0.99,8.87,4.27,0.350000000000001,10.99,7.3,1.13,11.7,15.58,3.76,6.76,12.2,3.17,16.47,2.76,3.24,11.13,10.65,10.7,6.03,15.02,1,0.69,3.84,5.45,4.74,15.18,17.57,16.11,2.54,0.84,14.66,10.97
17,16.77,24.04,7.51,15.73,13.8,8.71,20.05,12.6,12.25,1.23,12.15,21.82,4.86,22.35,11.7,12.13,3.87,17.14,21.01,20.17,21.62,18.05,20.22,13.07,22.76,23.3,27.61,5.87,4.17,16.63,23.3,12.72,24.56,8.33,2.46,18.05,17.98,20.21,12.44,22.89,21.39,14.62,4.15,13.97,9.37,23.26,12.59,20.55,13.84,18.76,14.43,2.82,15.35,2.7,6.23,10.15,20.83,15.26,18.72,6.69,6.49,10.96,11.6,11.33,6.4,7.44,20.13,25.24,6.62,23.64,6.27,14.18,17.79,11.43,10.13,9.97,13.28,20.74,18.66,9.25,9.62,17.71,7.58,2.4,18.85,6.25,6.17,13.59,17.98,7.56,15.63,7.56,12.06,18.47,15.57,20.66,11.71,10.08,12.41,18.16
23,21.54,8.64,18.39,11.35,12.11,17.72,16.8,16.85,9.99,14.23,14.64,19.78,2.45,15.42,20.27,16.99,8.25,22.31,13,22.3,24.6,12.29,6.62,2.17,6.41,7.64,8.99,19.66,6.54,14.33,20.74,12.17,14.49,27.2,16.31,3.76,17.56,21.12,9.56,11.32,16.87,10.43,11.58,5.65,5.41,6.73,17.78,24.83,3.93,18.76,21.39,0.74,3.01,10.44,10.04,10.76,20.71,9.88,14.85,10.36,11.71,2.49,20.8,11.14,17.71,11.86,4.19,13.09,21.91,15.23,6.5,15.34,1.84,20.72,10.93,7.07,12.29,1.46,8.83,20.89,10.59,6.15,3.26,9.27,12.15,16.49,4.05,6.93,11.9,11.87,6.47,2.71,11.43,14.14,2.14,7.01,7.05,3.25,1.75,10.07
